Top,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CoinBox/Coin,CoinBox/Coin,CoinBox/Coin,Platform
,,,,,,Player,,,CoinBox/1UpMushroom,Platform,,,Floor,Floor,Brick,Brick,Player2,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Platform,,,Brick,CoinBox/SuperMushroom,,,,,,,,,,CoinBox/SuperMushroom,Brick,Platform,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Brick,Brick,,,,,,Brick,Brick,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Floor,Platform,,,Floor,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Step,CoinBox/SuperMushroom,Step,,Step,CoinBox/1UpMushroom,Platform,,,CoinBox/1UpMushroom,Step,,Step,CoinBox/SuperMushroom,Step,,Step,Step,Step,,
